Pico_gTime_s,Pi5_gTime_s,Lick_Detected,Lick_Number,Motor_location,State,Valve_timing
0.550910000,0.612487236,,,forward,NoGo,
2.347958000,2.372432000,,,presenting,,
4.348112000,4.407402142,,,backward,,
6.564832000,6.619020742,,,idle,ITI,
10.153526000,10.211659890,,,forward,NoGo,
11.949857000,11.970399258,,,presenting,,
12.831994000,12.875899658,Lick,1,,,
13.321343000,13.379280967,Lick,2,,,
13.950487000,14.007693839,,,backward,,
14.096575000,14.108263593,Lick,3,,,
16.167562000,16.219950877,,,idle,Timeout,
19.616264000,19.664309605,Lick,4,,,
19.981473000,20.019991783,Lick,5,,,
20.113966000,20.170935840,Lick,6,,,
20.232315000,20.272042280,Lick,7,,,
20.333128000,20.373096238,Lick,8,,,
20.489969000,20.524689888,Lick,9,,,
21.166921000,21.229528389,,,idle,ITI,
24.763185000,24.821692778,,,forward,NoGo,
26.559744000,26.604470038,,,presenting,,
28.560457000,28.614389244,,,backward,,
30.777237000,30.827515160,,,idle,ITI,
34.359356000,34.417068536,,,forward,Go,
36.156499000,36.178168132,,,presenting,,
36.664355000,36.702686059,Lick,10,,,
36.665512000,36.702810059,,,,,Open
36.766104000,36.803525627,,,,,Close
36.968360000,37.004983357,Lick,11,,,
37.256090000,37.306926747,Lick,12,,,
37.414453000,37.458052174,Lick,13,,,
37.583823000,37.609149860,Lick,14,,,
37.763924000,37.810666626,Lick,15,,,
37.911372000,37.961905701,Lick,16,,,
38.021902000,38.062615732,Lick,17,,,
38.146045000,38.163486838,Lick,18,,,
38.156435000,38.213867011,,,backward,,
38.245789000,38.314515246,Lick,19,,,
38.349488000,38.415222814,Lick,20,,,
38.443724000,38.465794839,Lick,21,,,
38.556276000,38.616751321,Lick,22,,,
38.672892000,38.717423131,Lick,23,,,
38.761198000,38.818317755,Lick,24,,,
40.373449000,40.409359153,,,idle,ITI,
42.292052000,42.319118596,Lick,25,,,
42.383474000,42.420290331,Lick,26,,,
42.492238000,42.521158825,Lick,27,,,
42.599276000,42.622035283,Lick,28,,,
42.726215000,42.773338154,Lick,29,,,
43.972350000,44.002869279,,,forward,NoGo,
45.768893000,45.813140708,,,presenting,,
47.768743000,47.824661976,,,backward,,
49.985954000,50.010569996,,,idle,ITI,
53.572176000,53.602124999,,,forward,NoGo,
55.147994000,55.161216411,Lick,30,,,
55.368855000,55.413965924,,,presenting,,
55.425251000,55.464241337,Lick,31,,,
55.655029000,55.665463658,Lick,32,,,
55.752282000,55.766121133,Lick,33,,,
55.860110000,55.866794127,Lick,34,,,
56.099416000,56.118260954,Lick,35,,,
56.254169000,56.269778491,Lick,36,,,
56.324057000,56.370698262,Lick,37,,,
56.475091000,56.521845651,Lick,38,,,
56.648615000,56.672993318,Lick,39,,,
56.726331000,56.773965663,Lick,40,,,
56.827171000,56.875027824,Lick,41,,,
56.899877000,56.925530700,Lick,42,,,
57.023218000,57.076710756,Lick,43,,,
57.104496000,57.127232336,Lick,44,,,
57.260534000,57.278578373,Lick,45,,,
57.347958000,57.379311570,Lick,46,,,
57.369312000,57.429887225,,,backward,,
57.503015000,57.531186867,Lick,47,,,
57.633238000,57.682158959,Lick,48,,,
57.849705000,57.902632900,Lick,49,,,
57.904246000,57.953172277,Lick,50,,,
59.585898000,59.616044904,,,idle,Timeout,
64.585802000,64.615783138,,,idle,ITI,
64.834769000,64.866979279,Lick,51,,,
64.953951000,65.018364427,Lick,52,,,
65.063367000,65.119304161,Lick,53,,,
65.154060000,65.220594896,Lick,54,,,
65.255051000,65.321436241,Lick,55,,,
65.345242000,65.371967210,Lick,56,,,
65.430830000,65.473003704,Lick,57,,,
65.529214000,65.573973068,Lick,58,,,
65.611496000,65.624583963,Lick,59,,,
65.693735000,65.725575252,Lick,60,,,
65.765574000,65.826606468,Lick,61,,,
68.153088000,68.211916109,,,forward,Go,
69.950193000,69.970910852,,,presenting,,
70.493248000,70.524315324,Lick,62,,,
70.494405000,70.524397194,,,,,Open
70.595018000,70.625234669,,,,,Close
70.743350000,70.776187168,Lick,63,,,
70.831481000,70.877061125,Lick,64,,,
70.984885000,71.028292291,Lick,65,,,
71.047607000,71.078683686,Lick,66,,,
71.188649000,71.229835574,Lick,67,,,
71.604756000,71.653433112,Lick,68,,,
71.795653000,71.809565466,Lick,69,,,
71.950002000,72.011076452,,,backward,,
71.988672000,72.011130267,Lick,70,,,
72.153979000,72.212403568,Lick,71,,,
74.166988000,74.224653228,,,idle,ITI,
76.916867000,76.961191125,Lick,72,,,
77.186615000,77.215483174,Lick,73,,,
77.391949000,77.416672808,Lick,74,,,
77.483625000,77.551816670,Lick,75,,,
77.592495000,77.626744983,Lick,76,,,
77.759121000,77.778043760,,,forward,Go,
78.849009000,78.905825193,Lick,77,,,
78.850103000,78.905926175,,,,,Open
78.924024000,78.956312607,Lick,78,,,
78.950696000,79.006741668,,,,,Close
79.011347000,79.057096359,Lick,79,,,
79.104625000,79.157744797,Lick,80,,,
79.171956000,79.208203802,Lick,81,,,
79.279914000,79.309175777,Lick,82,,,
79.360440000,79.409918511,Lick,83,,,
79.476945000,79.510777393,Lick,84,,,
79.555769000,79.611545886,,,presenting,,
79.562462000,79.611583052,Lick,85,,,
79.660752000,79.712257990,Lick,86,,,
79.765257000,79.813004798,Lick,87,,,
79.850011000,79.913794828,Lick,88,,,
80.985178000,81.020279454,Lick,89,,,
81.100658000,81.121213965,Lick,90,,,
81.243088000,81.272676205,Lick,91,,,
81.299758000,81.323137415,Lick,92,,,
81.422353000,81.474387450,Lick,93,,,
81.476259000,81.524919938,Lick,94,,,
81.555981000,81.625899357,,,backward,,
