Pico_gTime_s,Pi5_gTime_s,Pulse_Count,Frame_Count
0.140900000,0.159492006,1,1
0.240498000,0.260068891,2,2
0.340258000,0.360674442,3,3
0.440902000,0.461177437,4,4
0.540561000,0.562238378,5,5
0.640469000,0.662794669,6,6
0.740158000,0.763390202,7,7
0.840581000,0.863965105,8,8
0.940863000,0.964493952,9,9
1.040516000,1.065038929,10,10
1.140103000,1.165553684,11,11
1.240793000,1.266064235,12,12
1.340597000,1.366515008,13,13
1.440381000,1.466952244,14,14
1.540179000,1.567444499,15,15
1.640712000,1.668157180,16,16
1.740356000,1.768703675,17,17
1.840876000,1.869448059,18,18
1.940515000,1.970015592,19,19
2.040271000,2.070614347,20,20
2.140779000,2.171196675,21,21
2.240416000,2.271767097,22,22
2.340186000,2.372421611,23,23
2.440699000,2.473022625,24,24
2.540383000,2.573653009,25,25
2.640675000,2.674230653,26,26
2.740464000,2.775153019,27,27
2.840267000,2.875751940,28,28
2.940129000,2.976299139,29,29
3.040858000,3.076998375,30,30
3.140635000,3.177731223,31,31
3.240516000,3.278289348,32,32
3.340035000,3.378880232,33,33
3.440588000,3.479538894,34,34
3.540297000,3.581126094,35,35
3.640110000,3.681775145,36,36
3.740669000,3.782771029,37,37
3.840336000,3.903902461,38,38
3.940742000,4.004692086,39,39
4.040379000,4.105508433,40,40
4.140095000,4.206127373,41,41
4.240718000,4.306751776,42,42
4.340383000,4.407373586,43,43
4.440303000,4.507958859,44,44
4.540202000,4.608631466,45,45
4.640772000,4.709354647,46,46
4.740476000,4.809955364,47,47
4.840378000,4.860247093,48,48
4.940137000,4.960724533,49,49
5.041577000,5.061253658,50,50
5.141201000,5.161872950,51,51
5.240937000,5.262321538,52,52
5.341561000,5.362798385,53,53
5.441017000,5.463316991,54,54
5.540057000,5.563802357,55,55
5.640102000,5.664320611,56,56
5.740517000,5.764769125,57,57
5.840544000,5.865176898,58,58
5.940495000,5.965649560,59,59
6.040612000,6.066104944,60,60
6.140596000,6.166634291,61,61
6.240204000,6.267082490,62,62
6.340303000,6.367501578,63,63
6.440461000,6.468179925,64,64
6.540352000,6.568691402,65,65
6.640626000,6.669454397,66,66
6.740594000,6.770367948,67,67
6.840581000,6.870877333,68,68
6.940719000,6.971473624,69,69
7.040765000,7.072081231,70,70
7.140814000,7.172749707,71,71
7.240181000,7.273293906,72,72
7.340286000,7.373823531,73,73
7.440318000,7.474543212,74,74
7.540003000,7.575230800,75,75
7.640712000,7.675917017,76,76
7.740406000,7.776480049,77,77
7.840037000,7.877017137,78,78
7.940588000,7.977615651,79,79
8.040440000,8.078170869,80,80
8.140150000,8.178838086,81,81
8.240127000,8.279584655,82,82
8.340764000,8.380919762,83,83
8.440514000,8.482451813,84,84
8.540221000,8.601220873,85,85
8.640694000,8.651690121,86,86
8.740385000,8.753616672,87,87
8.840088000,8.854221631,88,88
8.940772000,8.954808385,89,89
9.040612000,9.055397880,90,90
9.140351000,9.156050153,91,91
9.240155000,9.256660334,92,92
9.340684000,9.357240162,93,93
9.440402000,9.457806843,94,94
9.540104000,9.558292949,95,95
9.741408000,9.759455754,96,96
9.841297000,9.859921990,97,97
9.941011000,9.960397652,98,98
10.040769000,10.060881980,99,99
10.141424000,10.161416624,100,100
10.241266000,10.261935452,101,101
10.341000000,10.362409947,102,102
10.440673000,10.462860813,103,103
10.541234000,10.563293067,104,104
10.641002000,10.663795858,105,105
10.741102000,10.764245391,106,106
10.840733000,10.864691237,107,107
10.941305000,10.965126381,108,108
11.041038000,11.065568746,109,109
11.140615000,11.166031352,110,110
11.241115000,11.266497625,111,111
11.340634000,11.366916417,112,112
11.441332000,11.467324967,113,113
11.541140000,11.567910370,114,114
11.641054000,11.668461568,115,115
11.740929000,11.768966638,116,116
11.841394000,11.869619707,117,117
11.941132000,11.970389480,118,118
12.040666000,12.070889549,119,119
12.141107000,12.171542452,120,120
12.240990000,12.272161836,121,121
12.341543000,12.372743405,122,122
12.441192000,12.473267270,123,123
12.540687000,12.573790413,124,124
12.641358000,12.674554353,125,125
12.741122000,12.775326774,126,126
12.841506000,12.876024621,127,127
12.941061000,12.976833987,128,128
13.040900000,13.077497760,129,129
13.141141000,13.178152347,130,130
13.240618000,13.278717268,131,131
13.340949000,13.379469560,132,132
13.441510000,13.480365073,133,133
13.541376000,13.581213198,134,134
13.641145000,13.682334731,135,135
13.740953000,13.802476921,136,136
13.841445000,13.852801502,137,137
13.941000000,13.957442350,138,138
14.040919000,14.057967216,139,139
14.141233000,14.158653804,140,140
14.240746000,14.259280484,141,141
14.341413000,14.359819627,142,142
14.441088000,14.460357048,143,143
14.540890000,14.560995858,144,144
14.641476000,14.661625316,145,145
14.740996000,14.762196163,146,146
14.840679000,14.862670621,147,147
14.941136000,14.963190079,148,148
15.040926000,15.063729777,149,149
15.141416000,15.164263791,150,150
15.241104000,15.264838489,151,151
15.341487000,15.365328540,152,152
15.441213000,15.465834498,153,153
15.541408000,15.566370585,154,154
15.641071000,15.666862932,155,155
15.740627000,15.767389279,156,156
15.840733000,15.867907755,157,157
15.941457000,15.968419695,158,158
16.041193000,16.068991227,159,159
16.140678000,16.169625203,160,160
16.241300000,16.270289643,161,161
16.341033000,16.370883527,162,162
16.440607000,16.471470059,163,163
16.541175000,16.572194813,164,164
16.640881000,16.672768197,165,165
16.741264000,16.773418858,166,166
16.840956000,16.874004113,167,167
16.940676000,16.974687996,168,168
17.041253000,17.075300954,169,169
17.140932000,17.175952116,170,170
17.240705000,17.276693778,171,171
17.341224000,17.377275291,172,172
17.441086000,17.477892156,173,173
17.540879000,17.578542577,174,174
17.641379000,17.679135720,175,175
17.741200000,17.780076864,176,176
17.840927000,17.880995359,177,177
17.941027000,18.001404901,178,178
18.040635000,18.105423471,179,179
18.141325000,18.155789515,180,180
18.241028000,18.256512177,181,181
18.340542000,18.357185579,182,182
18.441127000,18.457778370,183,183
18.541468000,18.558449199,184,184
18.641362000,18.658944453,185,185
18.740851000,18.759609133,186,186
18.841396000,18.910397357,187,187
18.940957000,18.960745326,188,188
19.040613000,19.061301191,189,189
19.141222000,19.161823316,190,190
19.240927000,19.262354774,191,191
19.340617000,19.362855972,192,192
19.441206000,19.463371263,193,193
19.540657000,19.563843332,194,194
19.640743000,19.664398068,195,195
19.740755000,19.768373564,196,196
19.841390000,19.869020819,197,197
19.941213000,19.969715295,198,198
20.041115000,20.070363049,199,199
20.140972000,20.171061174,200,200
20.240906000,20.272152039,201,201
20.340860000,20.373205979,202,202
20.441235000,20.474244103,203,203
20.540570000,20.575400821,204,204
20.640975000,20.676146297,205,205
20.740546000,20.776801884,206,206
20.841035000,20.877466472,207,207
20.940631000,20.978057948,208,208
21.041321000,21.078652239,209,209
21.141072000,21.179237790,210,210
21.240727000,21.280146155,211,211
21.341308000,21.380872631,212,212
21.440980000,21.502100988,213,213
21.540592000,21.552452013,214,214
21.641315000,21.653082582,215,215
21.740724000,21.754495392,216,216
21.841237000,21.855135387,217,217
21.940776000,21.955749382,218,218
22.041258000,22.056331617,219,219
22.140719000,22.156898001,220,220
22.241319000,22.257390088,221,221
22.341019000,22.357967768,222,222
22.440628000,22.458462652,223,223
22.541149000,22.558956073,224,224
22.640746000,22.659970049,225,225
22.740993000,22.760530451,226,226
22.840610000,22.861056168,227,227
22.941135000,22.961591978,228,228
23.040747000,23.062080046,229,229
23.141198000,23.162582708,230,230
23.240756000,23.263170517,231,231
23.341292000,23.363782308,232,232
23.440946000,23.464230896,233,233
23.541387000,23.564670409,234,234
23.641014000,23.665175163,235,235
23.740516000,23.765663824,236,236
23.841046000,23.866174485,237,237
23.940876000,23.966770165,238,238
24.040657000,24.067253290,239,239
24.141210000,24.167852581,240,240
24.440018000,24.469561805,241,241
24.539806000,24.570117578,242,242
24.640308000,24.670656739,243,243
24.739937000,24.771264160,244,244
24.839969000,24.872001729,245,245
24.939724000,24.972568168,246,246
25.040271000,25.073110699,247,247
25.140122000,25.173687453,248,248
25.240338000,25.274388170,249,249
25.340075000,25.375144258,250,250
25.440529000,25.475733234,251,251
25.540258000,25.576321840,252,252
25.640193000,25.676944797,253,253
25.739756000,25.777505236,254,254
25.840349000,25.878135657,255,255
25.939985000,25.978710448,256,256
26.039821000,26.079499517,257,257
26.140443000,26.180752475,258,258
26.240197000,26.301902961,259,259
26.339867000,26.402721345,260,260
26.440411000,26.503785025,261,261
26.540012000,26.604438241,262,262
26.640548000,26.705066403,263,263
26.740379000,26.755403372,264,264
26.844305000,26.906243688,265,265
26.939727000,26.956582213,266,266
27.040228000,27.056996764,267,267
27.139937000,27.157511517,268,268
27.240374000,27.258054234,269,269
27.340111000,27.358734007,270,270
27.439881000,27.459185983,271,271
27.539704000,27.559649903,272,272
27.639782000,27.660061527,273,273
27.740463000,27.760502299,274,274
27.840224000,27.860983738,275,275
27.939838000,27.961431900,276,276
28.039707000,28.061876431,277,277
28.140311000,28.162281574,278,278
28.239899000,28.262706142,279,279
28.340520000,28.363184452,280,280
28.440069000,28.463652187,281,281
28.539834000,28.564106589,282,282
28.639683000,28.664614676,283,283
